Feed ID,Dataset ID,Service Date Range Start,Service Date Range End
tfs-413,regie-autonome-des-transports-parisiens/413/20180501,20180425,20181025
tfs-413,regie-autonome-des-transports-parisiens/413/20180420,20180418,20181018
tfs-413,regie-autonome-des-transports-parisiens/413/20180328,20180323,20180926
tfs-413,regie-autonome-des-transports-parisiens/413/20180314,20180314,20180913
tfs-413,regie-autonome-des-transports-parisiens/413/20180227,20180223,20180822
tfs-413,regie-autonome-des-transports-parisiens/413/20180223,20180213,20180812
tfs-413,regie-autonome-des-transports-parisiens/413/20180202,20180130,20180729
tfs-413,regie-autonome-des-transports-parisiens/413/20180126,20180119,20180718
tfs-413,regie-autonome-des-transports-parisiens/413/20180111,20180109,20180708
tfs-413,regie-autonome-des-transports-parisiens/413/20171223,20171220,20180620
tfs-413,regie-autonome-des-transports-parisiens/413/20171215,20171207,20180607
tfs-413,regie-autonome-des-transports-parisiens/413/20171116,20171115,20180515
tfs-413,regie-autonome-des-transports-parisiens/413/20171112,20171108,20180508
tfs-413,regie-autonome-des-transports-parisiens/413/20171027,20171025,20180424
tfs-413,regie-autonome-des-transports-parisiens/413/20171022,20171019,20180418
tfs-413,regie-autonome-des-transports-parisiens/413/20171013,20171013,20180412
tfs-413,regie-autonome-des-transports-parisiens/413/20171006,20171004,20180108
tfs-413,regie-autonome-des-transports-parisiens/413/20170922,20170920,20180108
tfs-413,regie-autonome-des-transports-parisiens/413/20170914,20170913,20180108
tfs-413,regie-autonome-des-transports-parisiens/413/20170819,20170817,20180108
tfs-413,regie-autonome-des-transports-parisiens/413/20170815,20170727,20180108
tfs-413,regie-autonome-des-transports-parisiens/413/20170714,20170711,20180108
tfs-413,regie-autonome-des-transports-parisiens/413/20170616,20170614,20171214
tfs-413,regie-autonome-des-transports-parisiens/413/20170606,20170530,20171130
tfs-413,regie-autonome-des-transports-parisiens/413/20170505,20170504,20171104
tfs-413,regie-autonome-des-transports-parisiens/413/20170422,20170420,20171020
tfs-413,regie-autonome-des-transports-parisiens/413/20170410,20170407,20171007
tfs-413,regie-autonome-des-transports-parisiens/413/20170328,20170322,20170923
tfs-413,regie-autonome-des-transports-parisiens/413/20170224,20170222,20170821
tfs-413,regie-autonome-des-transports-parisiens/413/20170202,20170125,20170725
tfs-413,regie-autonome-des-transports-parisiens/413/20161227,20161221,20170621
tfs-413,regie-autonome-des-transports-parisiens/413/20161111,20161109,20170509
tfs-413,regie-autonome-des-transports-parisiens/413/20161007,20161006,20170405
tfs-413,regie-autonome-des-transports-parisiens/413/20160916,20160913,20170102
tfs-413,regie-autonome-des-transports-parisiens/413/20160808,20160802,20170102
tfs-413,regie-autonome-des-transports-parisiens/413/20160713,20160712,20170102
tfs-413,regie-autonome-des-transports-parisiens/413/20160621,20160617,20161217
tfs-413,regie-autonome-des-transports-parisiens/413/20160603,20160528,20161130
tfs-413,regie-autonome-des-transports-parisiens/413/20160516,20160512,20161112
tfs-413,regie-autonome-des-transports-parisiens/413/20160407,20160405,20161005
tfs-413,regie-autonome-des-transports-parisiens/413/20160318,20160316,20160916
tfs-413,regie-autonome-des-transports-parisiens/413/20160224,20160224,20160823
tfs-413,regie-autonome-des-transports-parisiens/413/20160129,20160127,20160727
tfs-413,regie-autonome-des-transports-parisiens/413/20160108,20160107,20160707
tfs-413,regie-autonome-des-transports-parisiens/413/20151218,20151215,20160615
tfs-413,regie-autonome-des-transports-parisiens/413/20151127,20151126,20160526
tfs-413,regie-autonome-des-transports-parisiens/413/20151106,20151104,20160504
tfs-413,regie-autonome-des-transports-parisiens/413/20151007,20151006,20160331
tfs-413,regie-autonome-des-transports-parisiens/413/20150925,20150925,20160101
tfs-413,regie-autonome-des-transports-parisiens/413/20150918,20150918,20160101
tfs-413,regie-autonome-des-transports-parisiens/413/20150911,20150910,20160101
tfs-413,regie-autonome-des-transports-parisiens/413/20150803,20150731,20160101
tfs-413,regie-autonome-des-transports-parisiens/413/20150711,20150709,20160101
tfs-413,regie-autonome-des-transports-parisiens/413/20150610,20150603,20151209
tfs-413,regie-autonome-des-transports-parisiens/413/20150528,20150522,20151122
tfs-413,regie-autonome-des-transports-parisiens/413/20150521,20150519,20151119
tfs-413,regie-autonome-des-transports-parisiens/413/20150421,20150416,20151016
tfs-413,regie-autonome-des-transports-parisiens/413/20150407,20150403,20151002
